Model,Test,Best Iter,Time,Seed,Run CMD
,"HR@5:0.3697,NDCG@5:0.2634,HR@10:0.4701,NDCG@10:0.2959,HR@20:0.5988,NDCG@20:0.3283,HR@50:0.8234,NDCG@50:0.3728",36,243.6,3,python main.py --model_name GRU4Rec --emb_size 64 --hidden_size 100 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3685,NDCG@5:0.2638,HR@10:0.4802,NDCG@10:0.2998,HR@20:0.6072,NDCG@20:0.3317,HR@50:0.8234,NDCG@50:0.3745",32,227.2,4,python main.py --model_name GRU4Rec --emb_size 64 --hidden_size 100 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
GRU4Rec,"0.3659,0.2614,0.4735,0.2962,0.6001,0.3281,0.8216,0.3719",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3638,NDCG@5:0.2595,HR@10:0.4756,NDCG@10:0.2956,HR@20:0.6029,NDCG@20:0.3278,HR@50:0.8239,NDCG@50:0.3715",55,551.5,0,python main.py --model_name NARM --emb_size 64 --hidden_size 100 --attention_size 4 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3637,NDCG@5:0.2595,HR@10:0.4732,NDCG@10:0.2949,HR@20:0.6061,NDCG@20:0.3284,HR@50:0.8233,NDCG@50:0.3713",36,414.8,1,python main.py --model_name NARM --emb_size 64 --hidden_size 100 --attention_size 4 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3643,NDCG@5:0.2594,HR@10:0.4758,NDCG@10:0.2954,HR@20:0.6040,NDCG@20:0.3278,HR@50:0.8264,NDCG@50:0.3717",26,339.3,2,python main.py --model_name NARM --emb_size 64 --hidden_size 100 --attention_size 4 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3704,NDCG@5:0.2678,HR@10:0.4752,NDCG@10:0.3015,HR@20:0.6060,NDCG@20:0.3344,HR@50:0.8232,NDCG@50:0.3774",55,563.4,3,python main.py --model_name NARM --emb_size 64 --hidden_size 100 --attention_size 4 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3626,NDCG@5:0.2622,HR@10:0.4739,NDCG@10:0.2981,HR@20:0.6045,NDCG@20:0.3309,HR@50:0.8234,NDCG@50:0.3742",63,614.8,4,python main.py --model_name NARM --emb_size 64 --hidden_size 100 --attention_size 4 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
NARM,"0.3650,0.2617,0.4747,0.2971,0.6047,0.3299,0.8240,0.3732",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3568,NDCG@5:0.2515,HR@10:0.4668,NDCG@10:0.2871,HR@20:0.5941,NDCG@20:0.3192,HR@50:0.8217,NDCG@50:0.3642",29,381.9,0,python main.py --model_name Caser --emb_size 64 --L 5 --num_horizon 64 --num_vertical 32 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3487,NDCG@5:0.2484,HR@10:0.4583,NDCG@10:0.2840,HR@20:0.5862,NDCG@20:0.3162,HR@50:0.8146,NDCG@50:0.3615",58,606.9,1,python main.py --model_name Caser --emb_size 64 --L 5 --num_horizon 64 --num_vertical 32 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3517,NDCG@5:0.2490,HR@10:0.4623,NDCG@10:0.2848,HR@20:0.5927,NDCG@20:0.3176,HR@50:0.8100,NDCG@50:0.3606",41,484.2,2,python main.py --model_name Caser --emb_size 64 --L 5 --num_horizon 64 --num_vertical 32 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3515,NDCG@5:0.2494,HR@10:0.4549,NDCG@10:0.2829,HR@20:0.5822,NDCG@20:0.3149,HR@50:0.8167,NDCG@50:0.3614",35,430.9,3,python main.py --model_name Caser --emb_size 64 --L 5 --num_horizon 64 --num_vertical 32 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3544,NDCG@5:0.2510,HR@10:0.4655,NDCG@10:0.2870,HR@20:0.5944,NDCG@20:0.3195,HR@50:0.8211,NDCG@50:0.3643",49,538.6,4,python main.py --model_name Caser --emb_size 64 --L 5 --num_horizon 64 --num_vertical 32 --lr 1e-3 --l2 1e-4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
Caser,"0.3526,0.2499,0.4616,0.2852,0.5899,0.3175,0.8168,0.3624",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3910,NDCG@5:0.2947,HR@10:0.4795,NDCG@10:0.3233,HR@20:0.5822,NDCG@20:0.3491,HR@50:0.7699,NDCG@50:0.3862",40,345.8,0,python main.py --model_name SASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3945,NDCG@5:0.2959,HR@10:0.4865,NDCG@10:0.3258,HR@20:0.5893,NDCG@20:0.3517,HR@50:0.7775,NDCG@50:0.3889",38,323.3,1,python main.py --model_name SASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3880,NDCG@5:0.2909,HR@10:0.4818,NDCG@10:0.3212,HR@20:0.5866,NDCG@20:0.3476,HR@50:0.7746,NDCG@50:0.3847",39,326.4,2,python main.py --model_name SASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3936,NDCG@5:0.2958,HR@10:0.4797,NDCG@10:0.3236,HR@20:0.5844,NDCG@20:0.3500,HR@50:0.7760,NDCG@50:0.3878",44,354.2,3,python main.py --model_name SASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3913,NDCG@5:0.2937,HR@10:0.4796,NDCG@10:0.3223,HR@20:0.5850,NDCG@20:0.3488,HR@50:0.7739,NDCG@50:0.3860",41,338.0,4,python main.py --model_name SASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
SASRec,"0.3917,0.2942,0.4814,0.3232,0.5855,0.3494,0.7744,0.3867",,,,
,,,,,
,,,,,
,,,,,
